id,class_a,class_b,class_c,class_d,class_e,class_f
915,Horror,,,,,
916,Horror,,,,,
917,Drama,,,,,
918,Drama,,,,,
919,Action,,,,,
920,Sci-Fi,Action,,,,
921,Biography,Drama,Music,War,,
922,Drama,Romance,,,,
923,Comedy,Crime,Action,,,
924,Action,Adventure,Comedy,,,
926,Horror,Sci-Fi,Action,,,
927,Action,Drama,Sci-Fi,,,
928,Comedy,Romance,,,,
929,Action,Drama,War,,,
930,Comedy,Drama,Fantasy,,,
931,Action,Crime,Adventure,Action,Drama,
933,Action,Adventure,Drama,Sci-Fi,,
934,Drama,,,,,
935,Drama,,,,,
936,Action,Horror,Sci-Fi,Action,,
937,Drama,Mystery,Sci-Fi,,,
938,Comedy,Romance,,,,
939,Comedy,Romance,,,,
940,Drama,Romance,,,,
941,Action,Horror,Sci-Fi,,,
942,Adventure,Comedy,Family,Fantasy,Romance,
943,Comedy,Drama,Mystery,,,
944,Comedy,Musical,,,,
945,Action,Drama,,,,
946,Horror,Mystery,Action,,,
947,Adventure,Mystery,Sci-Fi,,,
948,Horror,Action,Fantasy,Mystery,,
949,Comedy,Drama,Romance,,,
950,Horror,Action,,,,
951,Crime,Drama,Action,,,
952,Action,Crime,Drama,Action,,
953,Comedy,Drama,Romance,,,
954,Drama,Music,,,,
955,Drama,Short,,,,
956,Horror,,,,,
957,Drama,,,,,
958,Drama,Romance,,,,
959,Drama,,,,,
960,Comedy,,,,,
961,Drama,,,,,
963,Drama,Romance,,,,
964,Comedy,,,,,
965,Action,Mystery,,,,
966,Drama,,,,,
967,Action,Sci-Fi,Action,,,
968,Fantasy,Horror,Mystery,,,
969,Crime,Action,Action,Drama,,
970,Horror,Action,,,,
971,Drama,Romance,,,,
972,Comedy,,,,,
973,Comedy,Sci-Fi,,,,
974,Animation,Family,Adventure,,,
975,Action,Crime,Action,,,
976,Action,Horror,Sci-Fi,Action,,
977,Action,Drama,Sci-Fi,,,
978,Adventure,Drama,Action,,,
979,Drama,Romance,,,,
980,Horror,Mystery,Action,,,
981,Animation,Adventure,Family,,,
982,Action,Drama,Sci-Fi,,,
983,Drama,,,,,
984,Adventure,Drama,Action,,,
987,Action,,,,,
988,Action,Comedy,Crime,,,
989,Drama,Romance,,,,
990,Comedy,Horror,Musical,Sci-Fi,,
992,Action,Crime,Action,,,
993,Drama,,,,,
994,Drama,Horror,Action,,,
995,Western,,,,,
996,Horror,Action,,,,
997,Comedy,Romance,,,,
998,Action,Drama,,,,
999,Action,Comedy,Crime,,,
1000,Action,Comedy,Crime,,,
1001,Comedy,Romance,,,,
1002,Drama,Romance,,,,
1003,Crime,Mystery,Sci-Fi,Action,,
1004,Action,Romance,Action,,,
1005,Crime,Drama,Action,,,
1006,Comedy,Drama,Family,,,
1007,Drama,Romance,,,,
1008,Drama,,,,,
1009,Action,Drama,War,,,
1010,Crime,Horror,Mystery,Action,,
1011,Action,Crime,Drama,,,
1013,Drama,War,,,,
1014,Action,Comedy,Fantasy,,,
1015,Horror,Mystery,Action,,,
1016,Horror,Mystery,Action,,,
1017,Horror,Mystery,Action,,,
1018,Drama,Mystery,Action,,,
1019,Drama,Western,,,,
1020,Adventure,Comedy,Drama,,,
1021,Comedy,,,,,
1022,Drama,Comedy,Romance,,,
1023,Action,Adventure,Sci-Fi,Action,,
1024,Comedy,Crime,Horror,,,
1025,Drama,Romance,,,,
1026,Drama,Fantasy,,,,
1027,Comedy,Drama,Romance,,,
1028,Drama,,,,,
1029,Comedy,Drama,,,,
1031,Drama,Romance,Comedy,,,
1032,Comedy,Crime,Drama,Action,,
1033,Drama,,,,,
1034,Drama,,,,,
1035,Drama,,,,,
1036,Comedy,Romance,,,,
1037,Action,Adventure,Crime,Mystery,Action,
1038,Action,,,,,
1039,Horror,Action,,,,
1040,Drama,Romance,,,,
1041,Horror,Sci-Fi,,,,
1042,Animation,Adventure,Comedy,Family,Fantasy,Romance
1043,Animation,Adventure,Comedy,,,
1044,Action,Crime,Drama,,,
1045,Adventure,Comedy,Drama,,,
1046,Action,Action,Drama,,,
1047,Drama,Horror,Sci-Fi,Action,,
1048,Crime,Drama,Horror,Action,,
1049,Horror,,,,,
1050,Comedy,Drama,Romance,,,
1051,Comedy,Drama,Sci-Fi,,,
1052,Drama,Action,,,,
1053,Comedy,Crime,Musical,,,
1054,Comedy,Drama,Mystery,,,
1055,Drama,Horror,Mystery,Action,,
1056,Comedy,Romance,Drama,,,
1057,Horror,Mystery,,,,
1058,Drama,,,,,
1059,Comedy,Horror,Sci-Fi,,,
1060,Crime,Drama,Romance,,,
1061,Comedy,Drama,,,,
1062,Action,Comedy,Crime,Drama,,
1063,Comedy,Crime,,,,
1065,Drama,,,,,
1066,Action,Adventure,Drama,,,
1067,Comedy,Romance,Action,,,
1068,Drama,,,,,
1069,Drama,Romance,Sci-Fi,,,
1070,Action,Drama,Sci-Fi,,,
1071,Action,Crime,Action,Drama,,
1072,Comedy,Romance,Drama,,,
1073,Mystery,Sci-Fi,Action,,,
1074,Animation,Comedy,Musical,,,
1075,Comedy,Sci-Fi,,,,
1076,Comedy,Romance,Drama,,,
1077,Action,,,,,
1078,Crime,Drama,Action,,,
1080,Action,Family,Sport,,,
1081,Sci-Fi,Action,,,,
1082,Action,Adventure,Sci-Fi,,,
1083,Drama,Romance,,,,
1084,Action,Adventure,Sci-Fi,,,
1097,Adventure,Drama,Romance,Sci-Fi,,
1098,Sci-Fi,Action,,,,
1099,Comedy,,,,,
1100,Western,,,,,
1101,Comedy,Drama,,,,
1102,Comedy,Crime,Drama,,,
1103,Action,Horror,Mystery,,,
1104,Comedy,Drama,,,,
1105,Drama,,,,,
1106,Crime,Action,Sci-Fi,Mystery,Action,Drama
1107,Drama,Film-Noir,Action,,,
1108,Action,Adventure,Comedy,Drama,Romance,Action
1109,Drama,,,,,
1110,Comedy,,,,,
1111,Drama,Film-Noir,,,,
1112,Comedy,Drama,,,,
1113,Mystery,Sci-Fi,Action,,,
1114,Comedy,,,,,
1116,Sci-Fi,Adventure,Fantasy,Action,,
1117,Comedy,,,,,
1118,Action,Sci-Fi,Action,,,
1119,Action,Crime,Horror,Drama,,
1121,Drama,,,,,
1122,Drama,Film-Noir,,,,
1123,Comedy,Drama,,,,
1124,Action,Action,,,,
1125,Comedy,Drama,,,,
1126,Drama,Action,,,,
1127,Drama,Action,,,,
1128,Drama,Crime,Action,Horror,,
1129,Crime,Drama,Action,,,
1130,Drama,Music,,,,
1131,Crime,Drama,Horror,Mystery,Action,
1132,Mystery,Western,Romance,,,
1133,Comedy,Drama,Romance,,,
1134,Crime,Drama,Action,,,
1135,Comedy,Fantasy,,,,
1136,Sci-Fi,Action,Action,Drama,Romance,
1138,Action,Adventure,Sci-Fi,Action,,
1141,Drama,Romance,,,,
1142,Comedy,Romance,,,,
1143,Horror,Action,,,,
1144,Action,Horror,Sci-Fi,Action,,
1145,Short,Comedy,Romance,,,
1146,Drama,,,,,
1147,Drama,,,,,
1149,Action,Adventure,Fantasy,,,
1150,Action,Adventure,Comedy,,,
1151,Action,Adventure,War,,,
1152,Action,Adventure,War,,,
1153,Comedy,Family,,,,
1154,Action,Adventure,Comedy,Romance,,
1155,Action,Adventure,Comedy,,,
1156,Crime,Mystery,Action,,,
1157,Action,Action,Crime,,,,
1158,Horror,Action,,,,
1159,Action,Adventure,Sci-Fi,,,
1160,Comedy,Drama,Romance,,,
1161,Comedy,Drama,,,,
1162,Drama,Mystery,Action,,,
1163,Drama,Romance,,,,
1164,Animation,Action,Adventure,Comedy,Drama,Fantasy
1165,Drama,,,,,
1166,Action,Drama,Western,,,
1167,Action,Adventure,Action,,,
1168,Action,Drama,,,,
1169,Action,Adventure,Sci-Fi,Action,,
1170,Action,Drama,Action,,,
1171,Animation,Comedy,Family,Fantasy,,
1172,Crime,Drama,Action,,,
1173,Action,Drama,Action,,,
1174,Drama,,,,,
1176,Comedy,Horror,Sci-Fi,,,
1177,Action,Adventure,Drama,Romance,,
1178,Action,Adventure,Fantasy,Sci-Fi,,
1180,Action,Adventure,Comedy,War,,
1181,Adventure,Drama,Western,,,
1182,Action,Adventure,Comedy,Romance,Action,
1183,Action,Crime,Romance,Action,,
1184,Comedy,Drama,Fantasy,Sci-Fi,,
1185,Drama,Fantasy,Romance,Action,,
1187,Drama,Horror,Action,Mystery,,
1188,Action,Comedy,Sci-Fi,,,
1189,Comedy,Drama,Sport,Action,,
1190,Drama,Action,,,,
1191,Drama,Comedy,Romance,,,
1192,Comedy,Drama,,,,
1193,Drama,Fantasy,Action,,,
1194,Drama,,,,,
1195,Drama,Mystery,Action,,,
1196,Animation,Adventure,Comedy,Drama,Family,
1197,Drama,Romance,,,,
1198,Crime,Mystery,Action,,,
1199,Action,Drama,Sci-Fi,Action,,
1200,Drama,Action,War,,,
1201,Mystery,Romance,Sci-Fi,Action,,
1202,Drama,,,,,
1204,Comedy,Action,,,,
1205,Drama,Mystery,Action,,,
1206,Action,Sci-Fi,Action,,,
1207,Crime,Drama,Romance,,,
1208,Comedy,,,,,
1209,Drama,Romance,,,,
1210,Action,Drama,Action,,,
1211,Crime,Drama,,,,
1213,Animation,Adventure,Comedy,Drama,Family,Romance
1214,Action,Crime,Action,,,
1215,Action,Adventure,Drama,,,
1216,Drama,War,,,,
1217,Action,Adventure,Sci-Fi,Action,,
1218,Biography,Drama,,,,
1219,Drama,,,,,
1220,Action,Fantasy,Sci-Fi,Action,,
1221,Drama,Romance,,,,
1222,Adventure,Drama,,,,
1223,Crime,Drama,Action,,,
1224,Horror,Mystery,Action,Drama,,,
1225,Horror,Action,,,,
1227,Crime,Drama,Action,,,
1228,Drama,Action,,,,
1229,Comedy,Musical,Romance,,,
1230,Crime,Drama,Mystery,Action,,
1231,Crime,Drama,Mystery,,,
1232,Adventure,Drama,,,,
1233,Action,Crime,Drama,Mystery,Action,
1234,Comedy,,,,,
1235,Crime,Drama,Romance,Action,,
1236,Action,Western,,,,
1237,Action,Adventure,Comedy,,,
1238,Crime,Drama,,,,
1240,Action,Action,Comedy,Sci-Fi,Western,
1241,Action,Adventure,Comedy,Fantasy,,
1242,Comedy,Drama,,,,
1243,Horror,Action,,,,
1244,Comedy,,,,,
1245,Crime,Drama,Romance,Action,,
1246,Adventure,Family,Fantasy,Musical,,
1247,Comedy,Crime,,,,
1248,Comedy,Drama,,,,
1249,Action,Adventure,Fantasy,,,
1250,Drama,,,,,
1251,Action,Action,Adventure,,,
1252,Drama,,,,,
1254,Action,Sci-Fi,,,,
1256,Action,Adventure,Action,,,
1257,Adventure,Comedy,,,,
1258,Comedy,Romance,,,,
1259,Drama,,,,,
1260,Comedy,Romance,,,,
1261,Comedy,Drama,Romance,,,
1262,Drama,Action,,,,
1263,Comedy,Romance,,,,
1264,Animation,Adventure,Comedy,,,
