id,class_a,class_b,class_c,class_d,class_e,class_f
836,Earth-File,Entertainment,Relationship,,,
837,Entertainment,Earth-File,Technology,Security,,
838,Entertainment,Entertainment,Relationship,,,
839,Entertainment,Relationship,Entertainment,,,
840,Entertainment,,,,,
841,Security,Entertainment,Security,,,
842,Entertainment,,,,,
844,Entertainment,Relationship,,,,
845,Entertainment,,,,,
846,Relationship,Technology,Entertainment,Entertainment,Earth-File,
847,Entertainment,Entertainment,Earth-File,Relationship,Security,
848,Entertainment,Entertainment,,,,
849,Security,Earth-File,Security,Earth-File,Entertainment,
850,Entertainment,,,,,
851,Entertainment,Security,,,,
852,Entertainment,Relationship,,,,
853,Entertainment,Entertainment,Relationship,Relationship,,
854,Earth-File,,,,,
855,Entertainment,,,,,
856,Security,Entertainment,Earth-File,,,
857,Entertainment,,,,,
858,Entertainment,Entertainment,,,,
859,Security,Security,Relationship,Security,,
860,Entertainment,Relationship,,,,
861,Entertainment,Relationship,,,,
862,Security,Earth-File,Entertainment,Relationship,,
863,Relationship,Entertainment,,,,
864,Security,Technology,Security,,,
865,Entertainment,,,,,
866,Security,Entertainment,Relationship,Security,,
867,Entertainment,,,,,
868,Security,Entertainment,Security,,,
869,Entertainment,,,,,
870,Security,Earth-File,Entertainment,,,
871,Technology,Entertainment,Earth-File,Entertainment,Entertainment,
872,Technology,Entertainment,Earth-File,Entertainment,Entertainment,
873,Entertainment,Entertainment,Earth-File,,,
875,Entertainment,Entertainment,Relationship,,,
876,Entertainment,Entertainment,Earth-File,Security,,
877,Security,Security,Entertainment,Security,,
878,Entertainment,Relationship,,,,
879,Entertainment,Security,Earth-File,,,
880,Security,Entertainment,Security,,,
881,Entertainment,Relationship,,,,
882,Entertainment,Relationship,Entertainment,,,
883,Entertainment,Security,,,,
884,Security,Earth-File,Technology,,,
885,Entertainment,Security,Entertainment,,,
886,Entertainment,Security,,,,
887,Entertainment,Security,Security,,,
888,Entertainment,Security,Security,,,
889,Entertainment,,,,,
891,Entertainment,Technology,Security,,,
892,Entertainment,,,,,
893,Security,Entertainment,Security,,,
894,Entertainment,,,,,
895,Earth-File,Entertainment,,,,
896,Entertainment,Entertainment,Earth-File,,,
897,Entertainment,Earth-File,Relationship,,,
898,Entertainment,Security,Entertainment,Relationship,Security,
899,Entertainment,Security,Relationship,Security,,
900,Security,Entertainment,Technology,,,
901,Security,Entertainment,Security,,,
903,Technology,Earth-File,Entertainment,,,
904,Entertainment,,,,,
905,Entertainment,Relationship,Technology,,,
906,Entertainment,,,,,
907,Security,Entertainment,Security,,,
908,Earth-File,Entertainment,Technology,,,
909,Security,Entertainment,Relationship,Security,,
910,Entertainment,Entertainment,Security,,,
911,Entertainment,,,,,
912,Security,Entertainment,Earth-File,Entertainment,Technology,
913,Security,Security,Entertainment,,,
914,Entertainment,Relationship,,,,
915,Entertainment,,,,,
916,Entertainment,,,,,
917,Entertainment,,,,,
918,Entertainment,,,,,
919,Security,,,,,
920,Technology,Security,,,,
921,Earth-File,Entertainment,Entertainment,Security,,
922,Entertainment,Relationship,,,,
923,Entertainment,Security,Security,,,
924,Security,Earth-File,Entertainment,,,
926,Entertainment,Technology,Security,,,
927,Security,Entertainment,Technology,,,
928,Entertainment,Relationship,,,,
929,Security,Entertainment,Security,,,
930,Entertainment,Entertainment,Earth-File,,,
931,Security,Security,Earth-File,Security,Entertainment,
933,Security,Earth-File,Entertainment,Technology,,
934,Entertainment,,,,,
935,Entertainment,,,,,
936,Security,Entertainment,Technology,Security,,
937,Entertainment,Earth-File,Technology,,,
938,Entertainment,Relationship,,,,
939,Entertainment,Relationship,,,,
940,Entertainment,Relationship,,,,
941,Security,Entertainment,Technology,,,
942,Earth-File,Entertainment,Relationship,Earth-File,Relationship,
943,Entertainment,Entertainment,Earth-File,,,
944,Entertainment,Entertainment,,,,
945,Security,Entertainment,,,,
946,Entertainment,Earth-File,Security,,,
947,Earth-File,Earth-File,Technology,,,
948,Entertainment,Security,Earth-File,Earth-File,,
949,Entertainment,Entertainment,Relationship,,,
950,Entertainment,Security,,,,
951,Security,Entertainment,Security,,,
952,Security,Security,Entertainment,Security,,
953,Entertainment,Entertainment,Relationship,,,
954,Entertainment,Entertainment,,,,
955,Entertainment,Earth-File,,,,
956,Entertainment,,,,,
957,Entertainment,,,,,
958,Entertainment,Relationship,,,,
959,Entertainment,,,,,
960,Entertainment,,,,,
961,Entertainment,,,,,
963,Entertainment,Relationship,,,,
964,Entertainment,,,,,
965,Security,Earth-File,,,,
966,Entertainment,,,,,
967,Security,Technology,Security,,,
968,Earth-File,Entertainment,Earth-File,,,
969,Security,Security,Security,Entertainment,,
970,Entertainment,Security,,,,
971,Entertainment,Relationship,,,,
972,Entertainment,,,,,
973,Entertainment,Technology,,,,
974,Technology,Relationship,Earth-File,,,
975,Security,Security,Security,,,
976,Security,Entertainment,Technology,Security,,
977,Security,Entertainment,Technology,,,
978,Earth-File,Entertainment,Security,,,
979,Entertainment,Relationship,,,,
980,Entertainment,Earth-File,Security,,,
981,Technology,Earth-File,Relationship,,,
982,Security,Entertainment,Technology,,,
983,Entertainment,,,,,
984,Earth-File,Entertainment,Security,,,
987,Security,,,,,
988,Security,Entertainment,Security,,,
989,Entertainment,Relationship,,,,
990,Entertainment,Entertainment,Entertainment,Technology,,
992,Security,Security,Security,,,
993,Entertainment,,,,,
994,Entertainment,Entertainment,Security,,,
995,Earth-File,,,,,
996,Entertainment,Security,,,,
997,Entertainment,Relationship,,,,
998,Security,Entertainment,,,,
999,Security,Entertainment,Security,,,
1000,Security,Entertainment,Security,,,
1001,Entertainment,Relationship,,,,
1002,Entertainment,Relationship,,,,
1003,Security,Earth-File,Technology,Security,,
1004,Security,Relationship,Security,,,
1005,Security,Entertainment,Security,,,
1006,Entertainment,Entertainment,Relationship,,,
1007,Entertainment,Relationship,,,,
1008,Entertainment,,,,,
1009,Security,Entertainment,Security,,,
1010,Security,Entertainment,Earth-File,Security,,
1011,Security,Security,Entertainment,,,
1013,Entertainment,Security,,,,
1014,Security,Entertainment,Earth-File,,,
1015,Entertainment,Earth-File,Security,,,
1016,Entertainment,Earth-File,Security,,,
1017,Entertainment,Earth-File,Security,,,
1018,Entertainment,Earth-File,Security,,,
1019,Entertainment,Earth-File,,,,
1020,Earth-File,Entertainment,Entertainment,,,
1021,Entertainment,,,,,
1022,Entertainment,Entertainment,Relationship,,,
1023,Security,Earth-File,Technology,Security,,
1024,Entertainment,Security,Entertainment,,,
1025,Entertainment,Relationship,,,,
1026,Entertainment,Earth-File,,,,
1027,Entertainment,Entertainment,Relationship,,,
1028,Entertainment,,,,,
1029,Entertainment,Entertainment,,,,
1031,Entertainment,Relationship,Entertainment,,,
1032,Entertainment,Security,Entertainment,Security,,
1033,Entertainment,,,,,
1034,Entertainment,,,,,
1035,Entertainment,,,,,
1036,Entertainment,Relationship,,,,
1037,Security,Earth-File,Security,Earth-File,Security,
1038,Security,,,,,
1039,Entertainment,Security,,,,
1040,Entertainment,Relationship,,,,
1041,Entertainment,Technology,,,,
1042,Technology,Earth-File,Entertainment,Relationship,Earth-File,Relationship
1043,Technology,Earth-File,Entertainment,,,
1044,Security,Security,Entertainment,,,
1045,Earth-File,Entertainment,Entertainment,,,
1046,Security,Security,Entertainment,,,
1047,Entertainment,Entertainment,Technology,Security,,
1048,Security,Entertainment,Entertainment,Security,,
1049,Entertainment,,,,,
1050,Entertainment,Entertainment,Relationship,,,
1051,Entertainment,Entertainment,Technology,,,
1052,Entertainment,Security,,,,
1053,Entertainment,Security,Entertainment,,,
1054,Entertainment,Entertainment,Earth-File,,,
1055,Entertainment,Entertainment,Earth-File,Security,,
1056,Entertainment,Relationship,Entertainment,,,
1057,Entertainment,Earth-File,,,,
1058,Entertainment,,,,,
1059,Entertainment,Entertainment,Technology,,,
1060,Security,Entertainment,Relationship,,,
1061,Entertainment,Entertainment,,,,
1062,Security,Entertainment,Security,Entertainment,,
1063,Entertainment,Security,,,,
1065,Entertainment,,,,,
1066,Security,Earth-File,Entertainment,,,
1067,Entertainment,Relationship,Security,,,
1068,Entertainment,,,,,
1069,Entertainment,Relationship,Technology,,,
1070,Security,Entertainment,Technology,,,
1071,Security,Security,Security,Entertainment,,
1072,Entertainment,Relationship,Entertainment,,,
1073,Earth-File,Technology,Security,,,
1074,Technology,Entertainment,Entertainment,,,
1075,Entertainment,Technology,,,,
1076,Entertainment,Relationship,Entertainment,,,
1077,Security,,,,,
1078,Security,Entertainment,Security,,,
1080,Security,Relationship,Entertainment,,,
1081,Technology,Security,,,,
1082,Security,Earth-File,Technology,,,
1083,Entertainment,Relationship,,,,
1084,Security,Earth-File,Technology,,,
1097,Earth-File,Entertainment,Relationship,Technology,,
1098,Technology,Security,,,,
1099,Entertainment,,,,,
1100,Earth-File,,,,,
1101,Entertainment,Entertainment,,,,
1102,Entertainment,Security,Entertainment,,,
1103,Security,Entertainment,Earth-File,,,
1104,Entertainment,Entertainment,,,,
1105,Entertainment,,,,,
1106,Security,Security,Technology,Earth-File,Security,Entertainment
1107,Entertainment,Entertainment,Security,,,
1108,Security,Earth-File,Entertainment,Entertainment,Relationship,Security
1109,Entertainment,,,,,
1110,Entertainment,,,,,
1111,Entertainment,Entertainment,,,,
1112,Entertainment,Entertainment,,,,
1113,Earth-File,Technology,Security,,,
1114,Entertainment,,,,,
1116,Technology,Earth-File,Earth-File,Security,,
1117,Entertainment,,,,,
1118,Security,Technology,Security,,,
1119,Security,Security,Entertainment,Entertainment,,
1121,Entertainment,,,,,
1122,Entertainment,Entertainment,,,,
1123,Entertainment,Entertainment,,,,
1124,Security,Security,,,,
1125,Entertainment,Entertainment,,,,
1126,Entertainment,Security,,,,
1127,Entertainment,Security,,,,
1128,Entertainment,Security,Security,Entertainment,,
1129,Security,Entertainment,Security,,,
1130,Entertainment,Entertainment,,,,
1131,Security,Entertainment,Entertainment,Earth-File,Security,
1132,Earth-File,Earth-File,Relationship,,,
1133,Entertainment,Entertainment,Relationship,,,
1134,Security,Entertainment,Security,,,
1135,Entertainment,Earth-File,,,,
1136,Technology,Security,Security,Entertainment,Relationship,
1138,Security,Earth-File,Technology,Security,,
1141,Entertainment,Relationship,,,,
1142,Entertainment,Relationship,,,,
1143,Entertainment,Security,,,,
1144,Security,Entertainment,Technology,Security,,
1145,Earth-File,Entertainment,Relationship,,,
1146,Entertainment,,,,,
1147,Entertainment,,,,,
1149,Security,Earth-File,Earth-File,,,
1150,Security,Earth-File,Entertainment,,,
1151,Security,Earth-File,Security,,,
1152,Security,Earth-File,Security,,,
1153,Entertainment,Relationship,,,,
1154,Security,Earth-File,Entertainment,Relationship,,
1155,Security,Earth-File,Entertainment,,,
1156,Security,Earth-File,Security,,,
1157,Security,Security,Security,,,,
1158,Entertainment,Security,,,,
1159,Security,Earth-File,Technology,,,
1160,Entertainment,Entertainment,Relationship,,,
1161,Entertainment,Entertainment,,,,
1162,Entertainment,Earth-File,Security,,,
1163,Entertainment,Relationship,,,,
1164,Technology,Security,Earth-File,Entertainment,Entertainment,Earth-File
1165,Entertainment,,,,,
1166,Security,Entertainment,Earth-File,,,
1167,Security,Earth-File,Security,,,
1168,Security,Entertainment,,,,
1169,Security,Earth-File,Technology,Security,,
1170,Security,Entertainment,Security,,,
1171,Technology,Entertainment,Relationship,Earth-File,,
1172,Security,Entertainment,Security,,,
1173,Security,Entertainment,Security,,,
1174,Entertainment,,,,,
1176,Entertainment,Entertainment,Technology,,,
1177,Security,Earth-File,Entertainment,Relationship,,
1178,Security,Earth-File,Earth-File,Technology,,
1180,Security,Earth-File,Entertainment,Security,,
1181,Earth-File,Entertainment,Earth-File,,,
1182,Security,Earth-File,Entertainment,Relationship,Security,
1183,Security,Security,Relationship,Security,,
1184,Entertainment,Entertainment,Earth-File,Technology,,
1185,Entertainment,Earth-File,Relationship,Security,,
1187,Entertainment,Entertainment,Security,Earth-File,,
1188,Security,Entertainment,Technology,,,
1189,Entertainment,Entertainment,Entertainment,Security,,
1190,Entertainment,Security,,,,
1191,Entertainment,Entertainment,Relationship,,,
1192,Entertainment,Entertainment,,,,
1193,Entertainment,Earth-File,Security,,,
1194,Entertainment,,,,,
1195,Entertainment,Earth-File,Security,,,
1196,Technology,Earth-File,Entertainment,Entertainment,Relationship,
1197,Entertainment,Relationship,,,,
1198,Security,Earth-File,Security,,,
1199,Security,Entertainment,Technology,Security,,
1200,Entertainment,Security,Security,,,
1201,Earth-File,Relationship,Technology,Security,,
1202,Entertainment,,,,,
1204,Entertainment,Security,,,,
1205,Entertainment,Earth-File,Security,,,
1206,Security,Technology,Security,,,
1207,Security,Entertainment,Relationship,,,
1208,Entertainment,,,,,
1209,Entertainment,Relationship,,,,
1210,Security,Entertainment,Security,,,
1211,Security,Entertainment,,,,
1213,Technology,Earth-File,Entertainment,Entertainment,Relationship,Relationship
1214,Security,Security,Security,,,
1215,Security,Earth-File,Entertainment,,,
1216,Entertainment,Security,,,,
1217,Security,Earth-File,Technology,Security,,
1218,Earth-File,Entertainment,,,,
1219,Entertainment,,,,,
1220,Security,Earth-File,Technology,Security,,
1221,Entertainment,Relationship,,,,
1222,Earth-File,Entertainment,,,,
1223,Security,Entertainment,Security,,,
1224,Entertainment,Earth-File,Security,Entertainment,,,
1225,Entertainment,Security,,,,
1227,Security,Entertainment,Security,,,
1228,Entertainment,Security,,,,
1229,Entertainment,Entertainment,Relationship,,,
1230,Security,Entertainment,Earth-File,Security,,
1231,Security,Entertainment,Earth-File,,,
1232,Earth-File,Entertainment,,,,
1233,Security,Security,Entertainment,Earth-File,Security,
1234,Entertainment,,,,,
1235,Security,Entertainment,Relationship,Security,,
1236,Security,Earth-File,,,,
1237,Security,Earth-File,Entertainment,,,
1238,Security,Entertainment,,,,
1240,Security,Security,Entertainment,Technology,Earth-File,
1241,Security,Earth-File,Entertainment,Earth-File,,
1242,Entertainment,Entertainment,,,,
1243,Entertainment,Security,,,,
1244,Entertainment,,,,,
1245,Security,Entertainment,Relationship,Security,,
1246,Earth-File,Relationship,Earth-File,Entertainment,,
1247,Entertainment,Security,,,,
1248,Entertainment,Entertainment,,,,
1249,Security,Earth-File,Earth-File,,,
1250,Entertainment,,,,,
1251,Security,Security,Earth-File,,,
1252,Entertainment,,,,,
1254,Security,Technology,,,,
1256,Security,Earth-File,Security,,,
1257,Earth-File,Entertainment,,,,
1258,Entertainment,Relationship,,,,
1259,Entertainment,,,,,
1260,Entertainment,Relationship,,,,
1261,Entertainment,Entertainment,Relationship,,,
1262,Entertainment,Security,,,,
1263,Entertainment,Relationship,,,,
1264,Technology,Earth-File,Entertainment,,,
